Gender,Age,Hoppy ,counrty 
1,24,5,5
1,21,8,3
1,35,1,4
0,48,2,2
1,58,7,2
1,16,8,5
1,47,1,2
0,25,8,2
0,11,5,5
0,45,1,2
0,17,5,1
0,38,1,4
0,45,2,3
0,19,6,2
0,13,4,1
0,40,7,5
1,40,6,3
1,32,7,2
0,51,5,1
0,24,4,3
1,11,3,1
1,70,5,5
0,17,2,2
1,61,8,3
0,29,6,2
0,33,9,4
1,17,7,4
1,37,1,4
0,44,4,2
1,51,2,2
1,12,6,2
0,62,6,2
0,17,8,3
0,41,3,4
0,10,4,1
0,13,9,4
0,11,6,5
0,35,10,1
0,38,2,3
1,58,1,2
0,27,9,4
1,17,2,4
0,10,9,1
1,47,2,1
0,11,9,3
1,59,6,5
0,37,5,2
1,14,4,4
0,18,4,3
1,62,5,4
0,14,3,3
1,25,6,4
0,21,5,5
1,25,3,5
0,10,6,2
1,53,4,2
1,62,6,3
0,22,1,5
0,37,10,3
0,67,7,4
0,22,6,4
1,56,5,3
0,47,4,2
1,57,10,4
1,32,6,3
1,46,6,4
0,54,5,3
0,38,4,3
0,28,8,4
1,40,2,2
1,43,5,4
0,53,4,3
1,48,7,5
1,41,5,3
1,35,1,1
0,51,3,1
1,32,2,4
0,56,4,5
1,24,5,4
1,47,9,3
0,46,9,3
0,11,2,4
1,68,3,2
1,66,7,3
1,52,3,2
0,64,10,3
0,61,2,3
0,19,1,4
0,20,10,1
1,61,1,3
0,47,7,5
1,31,6,3
0,68,7,3
1,56,7,4
0,11,7,4
1,58,4,2
1,65,9,1
1,28,1,5
0,32,4,5
1,16,9,5
0,70,6,4
1,60,10,5
1,38,9,5
1,36,5,4
0,27,3,4
1,15,3,3
1,27,4,1
0,26,8,1
0,50,9,5
1,18,10,3
1,37,10,4
1,40,7,4
1,67,10,2
0,26,6,4
1,27,2,2
0,70,9,3
1,58,8,3
0,68,9,3
1,62,7,3
1,49,5,2
0,40,4,4
0,11,7,5
0,17,7,1
0,22,8,1
1,14,1,2
0,23,3,3
1,67,6,4
1,22,5,5
0,40,2,5
0,50,1,4
1,18,4,5
0,22,3,5
0,10,3,2
0,61,2,4
1,37,2,4
0,32,9,5
0,45,2,2
0,14,1,4
0,36,10,5
0,34,3,4
1,46,1,3
1,64,2,2
1,61,5,5
1,32,10,5
1,29,8,5
1,16,3,5
0,34,4,3
0,29,2,4
1,12,5,2
1,10,5,1
1,56,7,2
0,60,1,2
0,51,2,4
1,61,4,2
1,51,9,2
1,46,6,3
0,45,2,4
1,41,5,4
1,52,9,1
0,12,6,2
1,15,4,3
1,65,8,3
1,14,7,2
0,67,9,5
1,14,6,3
1,41,8,3
0,41,6,4
1,27,10,2
0,30,4,4
0,50,3,1
1,59,2,1
1,55,3,1
0,67,5,1
1,22,2,5
1,22,8,3
0,53,5,5
1,24,6,2
0,28,9,2
0,25,1,1
1,42,9,4
1,51,3,2
1,29,6,3
0,53,4,3
0,34,7,5
0,17,9,1
0,18,9,5
1,42,3,1
0,35,2,1
1,33,8,2
0,33,3,4
0,14,8,2
0,22,4,3
1,33,5,5
0,41,8,5
0,34,2,1
0,43,9,2
1,47,6,4
1,59,7,2
0,39,5,5
1,43,8,2
0,56,3,4
1,56,3,4
1,41,10,3
1,52,8,1
1,32,2,3
0,14,8,5
1,64,4,5
0,24,8,2
0,50,9,5
0,14,3,2
0,56,6,3
1,67,7,4
0,32,8,1
1,28,7,1
0,57,3,1
1,68,2,3
1,16,3,4
1,10,7,4
1,13,2,1
1,47,9,3
1,57,2,2
1,68,9,4
0,59,9,3
0,55,2,4
1,47,7,5
1,12,9,1
1,57,7,2
0,19,6,2
1,48,2,5
1,48,5,3
0,19,7,5
1,28,9,3
0,39,8,4
1,40,1,1
1,50,10,3
1,13,7,1
1,47,3,2
1,36,8,4
1,62,9,4
0,23,7,2
0,65,4,1
0,47,9,5
1,19,4,1
0,64,8,5
1,51,9,1
1,23,6,4
1,69,7,1
0,40,1,3
1,11,10,5
0,15,3,1
0,18,5,1
0,30,4,2
1,63,6,5
1,44,4,3
1,56,1,5
0,55,9,4
1,10,7,4
1,62,8,1
1,40,5,4
0,62,7,4
0,41,6,5
1,67,9,4
0,57,8,5
0,43,1,2
1,17,3,5
1,50,10,2
1,44,9,2
1,35,8,4
0,11,2,1
0,48,3,5
1,47,5,1
0,17,3,3
1,53,3,4
0,34,2,3
0,19,4,2
1,70,6,2
0,23,7,4
0,25,7,4
0,49,7,1
0,10,8,1
0,17,8,5
0,10,6,1
0,24,8,4
1,61,8,5
0,52,2,3
1,64,1,1
0,40,6,4
0,35,9,1
0,52,7,1
1,33,3,5
1,69,9,3
1,35,7,5
0,55,3,4
1,58,4,4
1,60,7,2
1,34,5,3
1,16,9,1
1,20,9,2
1,21,10,3
1,43,10,2
0,23,7,5
0,13,9,2
0,55,9,3
1,59,6,2
1,28,1,3
1,50,7,3
1,59,3,2
0,47,2,4
1,33,8,2
0,35,4,3
0,67,6,2
1,16,7,1
1,19,5,1
1,13,7,2
0,70,5,1
1,21,9,2
1,29,4,2
1,62,4,3
1,44,5,2
0,60,9,3
0,14,5,3
1,20,8,3
1,50,3,3
0,34,9,4
1,12,4,3
0,43,7,2
1,25,6,3
0,23,2,1
0,32,5,5
1,70,8,3
1,57,9,3
0,49,5,4
0,70,10,4
0,16,6,1
0,54,2,1
0,52,6,1
0,41,2,4
1,69,7,1
1,51,9,1
0,14,7,4
0,30,2,2
1,25,2,3
0,28,8,1
0,21,7,3
1,58,1,1
1,53,6,2
1,37,2,3
1,22,4,3
0,53,7,3
0,36,2,3
1,33,9,3
0,24,6,1
1,11,5,4
0,66,8,3
1,28,3,5
0,53,4,1
1,65,8,4
0,60,1,3
0,56,10,4
1,62,7,2
1,65,10,2
0,46,10,3
0,24,9,2
1,59,1,3
0,60,1,3
0,26,2,2
0,63,3,4
1,50,5,2
1,41,10,4
0,31,2,3
0,27,4,1
0,31,6,2
0,12,9,2
1,52,9,3
0,15,5,4
0,65,6,3
1,51,7,4
0,70,1,3
1,49,3,1
1,32,9,1
0,46,6,1
0,40,5,3
0,49,6,3
0,64,5,4
0,65,6,2
0,42,1,2
1,22,8,2
1,16,3,2
1,47,7,5
1,22,3,2
0,17,5,2
0,15,6,3
0,28,2,4
0,64,6,4
1,61,9,4
1,61,9,4
1,39,2,4
1,23,9,4
1,40,4,3
1,50,7,4
0,18,3,4
1,34,3,1
0,18,7,1
0,64,3,3
0,15,9,4
1,58,6,1
1,31,5,4
1,36,3,4
0,28,10,1
0,20,10,5
0,56,8,4
0,36,4,3
1,22,8,1
1,44,10,3
0,36,3,2
0,60,2,3
0,39,7,2
1,62,3,2
0,53,7,1
1,55,2,5
0,27,6,3
0,55,3,5
1,29,7,4
0,38,7,1
1,63,8,2
0,43,2,1
1,48,6,5
0,30,7,5
0,68,1,1
1,68,7,5
1,28,3,4
1,50,2,3
1,64,5,5
1,43,2,1
0,62,4,2
1,57,10,4
1,69,2,4
1,27,6,3
0,57,8,5
1,32,10,1
0,63,3,2
1,59,7,4
1,39,2,2
0,25,7,2
0,18,8,5
1,12,10,2
0,66,6,1
0,36,4,2
0,41,8,2
1,39,10,2
1,27,10,5
1,54,5,3
1,46,2,4
0,11,10,3
0,40,9,5
0,16,7,1
0,34,1,1
1,37,1,2
0,15,1,1
0,24,3,2
1,12,3,2
1,41,10,3
0,28,1,1
1,41,5,4
1,69,4,5
0,45,8,3
0,13,8,5
1,39,8,4
0,13,2,1
0,70,7,4
0,47,9,1
0,34,10,2
1,17,10,1
0,34,7,5
1,70,2,2
0,62,3,5
1,62,6,3
1,49,2,5
1,60,9,3
0,63,2,1
0,64,5,4
0,19,3,4
1,51,8,1
1,19,8,1
1,47,8,5
1,41,5,1
1,24,1,4
1,22,4,2
1,70,5,1
1,39,2,3
0,15,3,1
0,45,6,3
1,20,4,4
0,46,1,2
0,65,1,5
0,10,2,3
1,10,4,2
0,52,4,3
1,34,7,5
0,54,1,2
0,62,6,2
1,55,4,5
0,37,3,2
1,28,5,3
0,26,9,5
0,12,8,3
1,29,10,2
1,21,8,3
1,27,3,2
0,21,3,4
1,53,4,3
0,28,9,3
0,17,2,1
1,16,2,1
0,27,8,1
1,41,6,1
1,24,4,2
0,61,7,1
1,51,4,1
0,23,4,5
0,32,7,1
0,30,2,2
0,14,4,1
1,12,5,5
1,60,5,1
0,27,5,2
0,48,10,1
1,45,1,4
1,39,8,2
0,52,2,3
1,20,9,4
1,19,4,1
